Name,City,Product,Quantity,Price,Name,City,Product,Quantity,Price
Eve,Berlin,Laptop,3,421,Eve,Berlin,Laptop,3,421
Frank,Berlin,Phone,10,524,Frank,Berlin,Phone,10,524
Bob,Sydney,Tablet,10,886,Bob,Sydney,Tablet,10,886
Frank,New York,Monitor,8,311,Frank,New York,Monitor,8,311
Charlie,Berlin,Mouse,10,567,Charlie,Berlin,Mouse,10,567
Charlie,London,Phone,6,828,Charlie,London,Phone,6,828
Bob,Berlin,Tablet,7,723,Bob,Berlin,Tablet,7,723
Bob,London,Keyboard,1,414,Bob,London,Keyboard,1,414
David,Tokyo,Laptop,3,473,David,Tokyo,Laptop,3,473
David,Paris,Mouse,5,822,David,Paris,Mouse,5,822
Charlie,New York,Tablet,10,528,Charlie,New York,Tablet,10,528
David,Sydney,Tablet,8,325,David,Sydney,Tablet,8,325
Charlie,Paris,Phone,5,436,Charlie,Paris,Phone,5,436
Alice,Tokyo,Tablet,10,872,Alice,Tokyo,Tablet,10,872
Eve,New York,Mouse,8,722,Eve,New York,Mouse,8,722
Eve,New York,Laptop,4,276,Eve,New York,Laptop,4,276
Frank,Tokyo,Phone,8,915,Frank,Tokyo,Phone,8,915
David,Sydney,Phone,9,493,David,Sydney,Phone,9,493
David,Tokyo,Laptop,5,522,David,Tokyo,Laptop,5,522
Eve,Paris,Phone,8,781,Eve,Paris,Phone,8,781
Alice,New York,Phone,10,435,Alice,New York,Phone,10,435
Alice,Paris,Keyboard,5,142,Alice,Paris,Keyboard,5,142
Eve,New York,Keyboard,1,907,Eve,New York,Keyboard,1,907
Frank,New York,Phone,4,855,Frank,New York,Phone,4,855
David,Paris,Keyboard,7,643,David,Paris,Keyboard,7,643
Eve,London,Keyboard,1,815,Eve,London,Keyboard,1,815
Charlie,Paris,Monitor,9,838,Charlie,Paris,Monitor,9,838
Bob,New York,Phone,5,334,Bob,New York,Phone,5,334
Bob,Berlin,Tablet,5,300,Bob,Berlin,Tablet,5,300
Frank,Paris,Keyboard,2,580,Frank,Paris,Keyboard,2,580
Charlie,Tokyo,Tablet,7,202,Charlie,Tokyo,Tablet,7,202
David,Paris,Phone,1,236,David,Paris,Phone,1,236
Charlie,Sydney,Keyboard,1,988,Charlie,Sydney,Keyboard,1,988
Alice,Tokyo,Keyboard,5,198,Alice,Tokyo,Keyboard,5,198
Alice,New York,Laptop,5,990,Alice,New York,Laptop,5,990
David,London,Phone,3,455,David,London,Phone,3,455
Frank,London,Keyboard,6,117,Frank,London,Keyboard,6,117
Bob,Sydney,Tablet,3,629,Bob,Sydney,Tablet,3,629
David,Paris,Phone,2,801,David,Paris,Phone,2,801
David,Sydney,Mouse,7,642,David,Sydney,Mouse,7,642
Bob,London,Tablet,2,560,Bob,London,Tablet,2,560
Bob,Berlin,Laptop,7,806,Bob,Berlin,Laptop,7,806
Bob,Berlin,Mouse,3,483,Bob,Berlin,Mouse,3,483
Bob,New York,Monitor,1,417,Bob,New York,Monitor,1,417
Eve,Paris,Laptop,6,212,Eve,Paris,Laptop,6,212
Eve,Tokyo,Mouse,4,373,Eve,Tokyo,Mouse,4,373
Charlie,Sydney,Laptop,8,876,Charlie,Sydney,Laptop,8,876
David,Sydney,Laptop,9,211,David,Sydney,Laptop,9,211
Charlie,London,Mouse,1,207,Charlie,London,Mouse,1,207
Frank,New York,Monitor,2,634,Frank,New York,Monitor,2,634
Bob,London,Keyboard,2,885,Bob,London,Keyboard,2,885
David,London,Monitor,3,740,David,London,Monitor,3,740
Alice,New York,Keyboard,1,166,Alice,New York,Keyboard,1,166
Bob,Sydney,Laptop,4,661,Bob,Sydney,Laptop,4,661
David,Sydney,Mouse,4,333,David,Sydney,Mouse,4,333
Frank,Sydney,Tablet,3,418,Frank,Sydney,Tablet,3,418
Charlie,Sydney,Laptop,5,406,Charlie,Sydney,Laptop,5,406
Alice,Tokyo,Laptop,5,278,Alice,Tokyo,Laptop,5,278
Alice,Sydney,Phone,1,504,Alice,Sydney,Phone,1,504
Frank,Paris,Mouse,10,648,Frank,Paris,Mouse,10,648
Charlie,London,Tablet,1,490,Charlie,London,Tablet,1,490
Eve,London,Laptop,5,466,Eve,London,Laptop,5,466
Eve,New York,Laptop,6,983,Eve,New York,Laptop,6,983
Eve,New York,Laptop,4,468,Eve,New York,Laptop,4,468
Eve,Paris,Laptop,8,152,Eve,Paris,Laptop,8,152
Frank,Berlin,Mouse,3,988,Frank,Berlin,Mouse,3,988
Charlie,Paris,Monitor,8,451,Charlie,Paris,Monitor,8,451
Frank,Paris,Laptop,6,106,Frank,Paris,Laptop,6,106
Eve,Tokyo,Mouse,10,294,Eve,Tokyo,Mouse,10,294
Alice,Tokyo,Mouse,4,134,Alice,Tokyo,Mouse,4,134
Alice,Sydney,Phone,6,684,Alice,Sydney,Phone,6,684
Frank,London,Keyboard,10,223,Frank,London,Keyboard,10,223
Bob,Tokyo,Phone,10,766,Bob,Tokyo,Phone,10,766
Charlie,Tokyo,Mouse,2,194,Charlie,Tokyo,Mouse,2,194
Bob,Paris,Mouse,8,651,Bob,Paris,Mouse,8,651
Alice,Tokyo,Laptop,2,759,Alice,Tokyo,Laptop,2,759
Eve,Paris,Monitor,1,785,Eve,Paris,Monitor,1,785
Alice,London,Keyboard,8,691,Alice,London,Keyboard,8,691
Bob,Sydney,Mouse,7,225,Bob,Sydney,Mouse,7,225
Alice,London,Monitor,2,699,Alice,London,Monitor,2,699
David,Tokyo,Monitor,7,844,David,Tokyo,Monitor,7,844
Frank,Berlin,Phone,8,466,Frank,Berlin,Phone,8,466
David,Tokyo,Phone,6,247,David,Tokyo,Phone,6,247
Charlie,Berlin,Tablet,7,956,Charlie,Berlin,Tablet,7,956
Charlie,Berlin,Tablet,4,484,Charlie,Berlin,Tablet,4,484
Eve,Tokyo,Phone,3,432,Eve,Tokyo,Phone,3,432
Alice,London,Phone,6,782,Alice,London,Phone,6,782
Frank,Tokyo,Monitor,1,825,Frank,Tokyo,Monitor,1,825
David,Paris,Phone,4,538,David,Paris,Phone,4,538
Charlie,Berlin,Phone,6,753,Charlie,Berlin,Phone,6,753
Frank,New York,Mouse,6,989,Frank,New York,Mouse,6,989
Eve,Berlin,Monitor,8,106,Eve,Berlin,Monitor,8,106
David,Berlin,Keyboard,3,668,David,Berlin,Keyboard,3,668
Alice,Paris,Tablet,3,623,Alice,Paris,Tablet,3,623
Bob,Sydney,Tablet,7,391,Bob,Sydney,Tablet,7,391
Charlie,London,Monitor,8,181,Charlie,London,Monitor,8,181
Alice,Sydney,Mouse,2,631,Alice,Sydney,Mouse,2,631
Charlie,Sydney,Monitor,8,528,Charlie,Sydney,Monitor,8,528
David,Paris,Keyboard,9,188,David,Paris,Keyboard,9,188
Bob,Paris,Monitor,6,746,Bob,Paris,Monitor,6,746
Charlie,London,Tablet,6,964,Charlie,London,Tablet,6,964
Charlie,Paris,Tablet,2,783,Charlie,Paris,Tablet,2,783
Bob,Tokyo,Phone,1,114,Bob,Tokyo,Phone,1,114
Bob,London,Tablet,3,243,Bob,London,Tablet,3,243
Frank,Sydney,Mouse,1,742,Frank,Sydney,Mouse,1,742
David,Paris,Tablet,3,152,David,Paris,Tablet,3,152
Charlie,New York,Monitor,7,290,Charlie,New York,Monitor,7,290
Frank,Berlin,Tablet,7,462,Frank,Berlin,Tablet,7,462
Frank,Tokyo,Phone,6,926,Frank,Tokyo,Phone,6,926
Charlie,London,Mouse,1,374,Charlie,London,Mouse,1,374
Eve,London,Monitor,3,389,Eve,London,Monitor,3,389
Charlie,London,Keyboard,8,816,Charlie,London,Keyboard,8,816
Eve,New York,Keyboard,10,852,Eve,New York,Keyboard,10,852
David,Tokyo,Mouse,1,231,David,Tokyo,Mouse,1,231
Frank,Tokyo,Mouse,8,561,Frank,Tokyo,Mouse,8,561
Alice,Paris,Monitor,5,438,Alice,Paris,Monitor,5,438
Frank,Paris,Phone,5,312,Frank,Paris,Phone,5,312
Eve,Paris,Laptop,8,904,Eve,Paris,Laptop,8,904
Alice,Tokyo,Laptop,10,175,Alice,Tokyo,Laptop,10,175
Bob,Paris,Phone,5,561,Bob,Paris,Phone,5,561
Bob,London,Mouse,4,687,Bob,London,Mouse,4,687
Bob,Paris,Keyboard,5,690,Bob,Paris,Keyboard,5,690
Eve,Berlin,Laptop,3,125,Eve,Berlin,Laptop,3,125
Alice,Sydney,Monitor,5,859,Alice,Sydney,Monitor,5,859
Alice,New York,Monitor,2,513,Alice,New York,Monitor,2,513
Alice,Tokyo,Laptop,1,809,Alice,Tokyo,Laptop,1,809
David,New York,Laptop,6,656,David,New York,Laptop,6,656
Charlie,London,Tablet,4,765,Charlie,London,Tablet,4,765
Charlie,Berlin,Tablet,1,685,Charlie,Berlin,Tablet,1,685
Alice,New York,Mouse,1,541,Alice,New York,Mouse,1,541
Eve,Berlin,Mouse,2,521,Eve,Berlin,Mouse,2,521
Charlie,Sydney,Mouse,5,722,Charlie,Sydney,Mouse,5,722
David,Paris,Monitor,4,629,David,Paris,Monitor,4,629
Charlie,Paris,Phone,1,220,Charlie,Paris,Phone,1,220
Charlie,Sydney,Keyboard,9,278,Charlie,Sydney,Keyboard,9,278
David,Berlin,Mouse,10,263,David,Berlin,Mouse,10,263
Eve,Sydney,Mouse,4,625,Eve,Sydney,Mouse,4,625
Charlie,Paris,Tablet,3,615,Charlie,Paris,Tablet,3,615
Eve,Tokyo,Monitor,2,856,Eve,Tokyo,Monitor,2,856
Charlie,Sydney,Laptop,5,679,Charlie,Sydney,Laptop,5,679
Frank,Tokyo,Keyboard,2,736,Frank,Tokyo,Keyboard,2,736
Frank,Tokyo,Laptop,4,237,Frank,Tokyo,Laptop,4,237
David,Paris,Tablet,1,126,David,Paris,Tablet,1,126
Eve,New York,Mouse,1,421,Eve,New York,Mouse,1,421
Frank,Berlin,Monitor,4,400,Frank,Berlin,Monitor,4,400
Charlie,Tokyo,Monitor,5,531,Charlie,Tokyo,Monitor,5,531
Alice,Sydney,Laptop,5,895,Alice,Sydney,Laptop,5,895
Alice,Sydney,Keyboard,4,220,Alice,Sydney,Keyboard,4,220
Eve,Tokyo,Phone,8,459,Eve,Tokyo,Phone,8,459
David,New York,Keyboard,8,152,David,New York,Keyboard,8,152
Eve,London,Tablet,9,848,Eve,London,Tablet,9,848
Alice,Tokyo,Laptop,8,413,Alice,Tokyo,Laptop,8,413
Charlie,Berlin,Mouse,7,885,Charlie,Berlin,Mouse,7,885
Bob,New York,Monitor,2,601,Bob,New York,Monitor,2,601
Alice,Paris,Monitor,2,945,Alice,Paris,Monitor,2,945
Eve,New York,Monitor,7,608,Eve,New York,Monitor,7,608
Alice,Tokyo,Tablet,6,570,Alice,Tokyo,Tablet,6,570
David,London,Mouse,8,684,David,London,Mouse,8,684
David,New York,Laptop,6,652,David,New York,Laptop,6,652
Bob,Berlin,Keyboard,3,899,Bob,Berlin,Keyboard,3,899
Bob,Paris,Keyboard,7,946,Bob,Paris,Keyboard,7,946
David,New York,Keyboard,5,136,David,New York,Keyboard,5,136
Bob,New York,Mouse,3,296,Bob,New York,Mouse,3,296
David,London,Laptop,1,966,David,London,Laptop,1,966
Charlie,Tokyo,Phone,9,280,Charlie,Tokyo,Phone,9,280
David,London,Phone,7,673,David,London,Phone,7,673
David,Sydney,Laptop,1,277,David,Sydney,Laptop,1,277
Alice,New York,Mouse,5,299,Alice,New York,Mouse,5,299
Eve,Tokyo,Monitor,7,265,Eve,Tokyo,Monitor,7,265
David,Paris,Tablet,3,987,David,Paris,Tablet,3,987
Eve,Berlin,Laptop,4,976,Eve,Berlin,Laptop,4,976
David,Berlin,Laptop,7,731,David,Berlin,Laptop,7,731
Eve,Berlin,Tablet,5,154,Eve,Berlin,Tablet,5,154
Alice,Tokyo,Mouse,8,934,Alice,Tokyo,Mouse,8,934
Frank,Berlin,Tablet,1,838,Frank,Berlin,Tablet,1,838
Frank,Sydney,Mouse,2,881,Frank,Sydney,Mouse,2,881
Charlie,Paris,Tablet,2,974,Charlie,Paris,Tablet,2,974
Frank,Sydney,Keyboard,9,889,Frank,Sydney,Keyboard,9,889
Frank,New York,Mouse,8,414,Frank,New York,Mouse,8,414
Frank,Tokyo,Monitor,5,358,Frank,Tokyo,Monitor,5,358
Frank,Sydney,Mouse,9,243,Frank,Sydney,Mouse,9,243
Eve,London,Monitor,2,240,Eve,London,Monitor,2,240
Bob,Paris,Laptop,7,389,Bob,Paris,Laptop,7,389
Bob,New York,Tablet,9,846,Bob,New York,Tablet,9,846
Bob,Paris,Laptop,8,595,Bob,Paris,Laptop,8,595
Alice,Paris,Laptop,6,204,Alice,Paris,Laptop,6,204
Bob,Paris,Monitor,7,926,Bob,Paris,Monitor,7,926
Alice,Paris,Keyboard,5,707,Alice,Paris,Keyboard,5,707
Bob,Paris,Mouse,10,738,Bob,Paris,Mouse,10,738
Charlie,Sydney,Phone,8,434,Charlie,Sydney,Phone,8,434
Charlie,Berlin,Monitor,10,531,Charlie,Berlin,Monitor,10,531
Charlie,Berlin,Tablet,5,921,Charlie,Berlin,Tablet,5,921
Charlie,Paris,Monitor,6,576,Charlie,Paris,Monitor,6,576
Eve,Tokyo,Monitor,10,404,Eve,Tokyo,Monitor,10,404
Bob,Sydney,Tablet,9,320,Bob,Sydney,Tablet,9,320
Bob,Berlin,Mouse,10,473,Bob,Berlin,Mouse,10,473
Frank,Paris,Monitor,2,245,Frank,Paris,Monitor,2,245
Bob,Tokyo,Phone,5,985,Bob,Tokyo,Phone,5,985
Bob,Tokyo,Keyboard,4,901,Bob,Tokyo,Keyboard,4,901
Bob,New York,Tablet,6,957,Bob,New York,Tablet,6,957
Charlie,Sydney,Mouse,6,1000,Charlie,Sydney,Mouse,6,1000
Bob,London,Mouse,2,326,Bob,London,Mouse,2,326
Eve,Sydney,Monitor,7,127,Eve,Sydney,Monitor,7,127
Charlie,Sydney,Phone,1,320,Charlie,Sydney,Phone,1,320
Frank,Sydney,Mouse,7,233,Frank,Sydney,Mouse,7,233
David,Berlin,Laptop,6,945,David,Berlin,Laptop,6,945
Charlie,Paris,Tablet,8,462,Charlie,Paris,Tablet,8,462
David,Sydney,Phone,4,724,David,Sydney,Phone,4,724
Alice,New York,Tablet,9,919,Alice,New York,Tablet,9,919
David,Sydney,Keyboard,9,778,David,Sydney,Keyboard,9,778
Charlie,Paris,Tablet,6,814,Charlie,Paris,Tablet,6,814
Bob,New York,Laptop,3,552,Bob,New York,Laptop,3,552
Bob,London,Monitor,8,556,Bob,London,Monitor,8,556
Eve,Paris,Tablet,6,468,Eve,Paris,Tablet,6,468
Charlie,New York,Mouse,8,988,Charlie,New York,Mouse,8,988
David,Tokyo,Monitor,9,343,David,Tokyo,Monitor,9,343
Alice,Sydney,Keyboard,10,590,Alice,Sydney,Keyboard,10,590
David,Tokyo,Laptop,1,734,David,Tokyo,Laptop,1,734
David,London,Phone,4,110,David,London,Phone,4,110
Eve,Paris,Tablet,5,100,Eve,Paris,Tablet,5,100
Eve,London,Mouse,2,834,Eve,London,Mouse,2,834
David,Sydney,Phone,8,276,David,Sydney,Phone,8,276
Bob,London,Laptop,4,843,Bob,London,Laptop,4,843
Eve,New York,Laptop,9,490,Eve,New York,Laptop,9,490
Charlie,Tokyo,Monitor,3,438,Charlie,Tokyo,Monitor,3,438
Alice,Tokyo,Monitor,5,491,Alice,Tokyo,Monitor,5,491
Bob,Sydney,Tablet,3,315,Bob,Sydney,Tablet,3,315
Charlie,London,Mouse,4,773,Charlie,London,Mouse,4,773
Charlie,Tokyo,Laptop,2,387,Charlie,Tokyo,Laptop,2,387
Bob,Paris,Monitor,1,416,Bob,Paris,Monitor,1,416
Alice,Sydney,Monitor,4,186,Alice,Sydney,Monitor,4,186
Eve,New York,Mouse,10,466,Eve,New York,Mouse,10,466
Alice,Tokyo,Keyboard,4,962,Alice,Tokyo,Keyboard,4,962
Eve,London,Laptop,1,352,Eve,London,Laptop,1,352
Eve,Sydney,Tablet,7,996,Eve,Sydney,Tablet,7,996
Charlie,Sydney,Tablet,3,215,Charlie,Sydney,Tablet,3,215
Bob,Berlin,Mouse,3,601,Bob,Berlin,Mouse,3,601
David,Berlin,Keyboard,5,607,David,Berlin,Keyboard,5,607
Bob,New York,Keyboard,9,389,Bob,New York,Keyboard,9,389
Alice,Sydney,Tablet,4,198,Alice,Sydney,Tablet,4,198
David,New York,Mouse,3,646,David,New York,Mouse,3,646
Bob,London,Monitor,6,190,Bob,London,Monitor,6,190
Charlie,New York,Monitor,10,965,Charlie,New York,Monitor,10,965
Charlie,New York,Phone,5,515,Charlie,New York,Phone,5,515
Eve,Paris,Phone,8,466,Eve,Paris,Phone,8,466
Alice,Paris,Laptop,9,764,Alice,Paris,Laptop,9,764
David,London,Laptop,2,425,David,London,Laptop,2,425
Frank,Tokyo,Mouse,8,496,Frank,Tokyo,Mouse,8,496
Frank,Tokyo,Mouse,6,879,Frank,Tokyo,Mouse,6,879
David,Berlin,Monitor,5,437,David,Berlin,Monitor,5,437
Alice,New York,Monitor,8,561,Alice,New York,Monitor,8,561
Alice,Sydney,Mouse,7,489,Alice,Sydney,Mouse,7,489
Eve,London,Mouse,6,888,Eve,London,Mouse,6,888
Bob,London,Monitor,3,227,Bob,London,Monitor,3,227
Alice,Tokyo,Monitor,3,861,Alice,Tokyo,Monitor,3,861
Frank,Paris,Laptop,4,270,Frank,Paris,Laptop,4,270
Bob,Berlin,Phone,1,711,Bob,Berlin,Phone,1,711
David,Tokyo,Monitor,9,447,David,Tokyo,Monitor,9,447
Eve,Berlin,Monitor,9,864,Eve,Berlin,Monitor,9,864
Charlie,London,Laptop,4,761,Charlie,London,Laptop,4,761
Bob,London,Laptop,10,243,Bob,London,Laptop,10,243
Alice,New York,Tablet,5,515,Alice,New York,Tablet,5,515
Charlie,New York,Tablet,5,276,Charlie,New York,Tablet,5,276
Frank,Berlin,Keyboard,5,463,Frank,Berlin,Keyboard,5,463
Bob,Sydney,Tablet,1,950,Bob,Sydney,Tablet,1,950
Eve,Tokyo,Phone,4,442,Eve,Tokyo,Phone,4,442
Alice,Paris,Laptop,3,412,Alice,Paris,Laptop,3,412
Alice,Paris,Laptop,1,910,Alice,Paris,Laptop,1,910
David,Tokyo,Phone,9,634,David,Tokyo,Phone,9,634
Eve,Sydney,Tablet,9,134,Eve,Sydney,Tablet,9,134
Eve,New York,Phone,2,440,Eve,New York,Phone,2,440
Charlie,Tokyo,Mouse,8,126,Charlie,Tokyo,Mouse,8,126
Bob,Tokyo,Tablet,2,947,Bob,Tokyo,Tablet,2,947
Charlie,New York,Tablet,10,361,Charlie,New York,Tablet,10,361
Eve,Berlin,Laptop,7,961,Eve,Berlin,Laptop,7,961
Alice,London,Tablet,1,138,Alice,London,Tablet,1,138
Bob,New York,Monitor,1,329,Bob,New York,Monitor,1,329
Charlie,Paris,Monitor,8,290,Charlie,Paris,Monitor,8,290
Bob,Paris,Tablet,8,658,Bob,Paris,Tablet,8,658
Charlie,New York,Keyboard,8,943,Charlie,New York,Keyboard,8,943
Alice,Sydney,Phone,5,568,Alice,Sydney,Phone,5,568
Charlie,New York,Laptop,5,817,Charlie,New York,Laptop,5,817
Charlie,Berlin,Mouse,4,905,Charlie,Berlin,Mouse,4,905
Bob,Tokyo,Tablet,5,799,Bob,Tokyo,Tablet,5,799
Alice,Tokyo,Tablet,9,634,Alice,Tokyo,Tablet,9,634
Frank,Sydney,Phone,10,313,Frank,Sydney,Phone,10,313
Charlie,Berlin,Keyboard,1,559,Charlie,Berlin,Keyboard,1,559
Alice,New York,Mouse,5,705,Alice,New York,Mouse,5,705
Bob,New York,Keyboard,3,836,Bob,New York,Keyboard,3,836
Charlie,Tokyo,Mouse,1,487,Charlie,Tokyo,Mouse,1,487
Charlie,Berlin,Tablet,8,876,Charlie,Berlin,Tablet,8,876
Alice,Paris,Tablet,7,887,Alice,Paris,Tablet,7,887
David,London,Monitor,1,120,David,London,Monitor,1,120
Frank,Paris,Mouse,2,855,Frank,Paris,Mouse,2,855
Bob,Sydney,Mouse,9,118,Bob,Sydney,Mouse,9,118
Bob,Paris,Keyboard,5,831,Bob,Paris,Keyboard,5,831
David,London,Laptop,1,121,David,London,Laptop,1,121
David,Berlin,Mouse,4,219,David,Berlin,Mouse,4,219
Alice,New York,Tablet,8,969,Alice,New York,Tablet,8,969
Alice,Sydney,Monitor,1,905,Alice,Sydney,Monitor,1,905
Eve,London,Keyboard,10,447,Eve,London,Keyboard,10,447
Bob,Paris,Tablet,4,176,Bob,Paris,Tablet,4,176
David,Sydney,Laptop,2,150,David,Sydney,Laptop,2,150
Alice,Berlin,Mouse,2,734,Alice,Berlin,Mouse,2,734
Charlie,New York,Monitor,9,446,Charlie,New York,Monitor,9,446
Alice,Sydney,Tablet,8,133,Alice,Sydney,Tablet,8,133
Frank,Sydney,Laptop,9,909,Frank,Sydney,Laptop,9,909
David,Berlin,Mouse,7,873,David,Berlin,Mouse,7,873
Alice,London,Phone,5,917,Alice,London,Phone,5,917
Alice,Berlin,Tablet,5,708,Alice,Berlin,Tablet,5,708
Alice,London,Phone,9,725,Alice,London,Phone,9,725
Bob,Tokyo,Monitor,8,632,Bob,Tokyo,Monitor,8,632
Bob,New York,Tablet,7,246,Bob,New York,Tablet,7,246
David,Sydney,Monitor,5,698,David,Sydney,Monitor,5,698
Charlie,London,Keyboard,8,642,Charlie,London,Keyboard,8,642
David,New York,Monitor,2,998,David,New York,Monitor,2,998
Charlie,Sydney,Tablet,2,489,Charlie,Sydney,Tablet,2,489
Charlie,Sydney,Keyboard,9,318,Charlie,Sydney,Keyboard,9,318
Eve,London,Phone,5,398,Eve,London,Phone,5,398
Eve,New York,Phone,3,931,Eve,New York,Phone,3,931
Alice,New York,Mouse,5,243,Alice,New York,Mouse,5,243
Eve,London,Tablet,7,290,Eve,London,Tablet,7,290
David,New York,Laptop,10,509,David,New York,Laptop,10,509
Frank,Berlin,Monitor,4,145,Frank,Berlin,Monitor,4,145
Charlie,London,Phone,1,340,Charlie,London,Phone,1,340
Bob,Paris,Phone,4,612,Bob,Paris,Phone,4,612
Charlie,Tokyo,Tablet,4,915,Charlie,Tokyo,Tablet,4,915
Frank,Berlin,Phone,3,672,Frank,Berlin,Phone,3,672
Charlie,Berlin,Phone,2,399,Charlie,Berlin,Phone,2,399
Alice,London,Laptop,5,910,Alice,London,Laptop,5,910
Eve,Sydney,Monitor,6,722,Eve,Sydney,Monitor,6,722
Frank,Paris,Phone,6,366,Frank,Paris,Phone,6,366
Charlie,London,Monitor,5,777,Charlie,London,Monitor,5,777
Bob,Paris,Laptop,3,699,Bob,Paris,Laptop,3,699
Alice,Berlin,Phone,8,207,Alice,Berlin,Phone,8,207
Alice,New York,Monitor,2,965,Alice,New York,Monitor,2,965
David,Paris,Keyboard,3,743,David,Paris,Keyboard,3,743
David,Paris,Phone,3,450,David,Paris,Phone,3,450
Frank,New York,Keyboard,9,756,Frank,New York,Keyboard,9,756
Charlie,London,Phone,7,929,Charlie,London,Phone,7,929
Eve,New York,Phone,6,181,Eve,New York,Phone,6,181
Frank,Berlin,Tablet,6,651,Frank,Berlin,Tablet,6,651
Eve,London,Monitor,10,124,Eve,London,Monitor,10,124
Eve,London,Keyboard,6,235,Eve,London,Keyboard,6,235
Eve,Sydney,Tablet,7,395,Eve,Sydney,Tablet,7,395
Eve,London,Laptop,6,573,Eve,London,Laptop,6,573
Frank,New York,Keyboard,8,136,Frank,New York,Keyboard,8,136
David,London,Phone,9,102,David,London,Phone,9,102
Charlie,Tokyo,Mouse,6,849,Charlie,Tokyo,Mouse,6,849
David,Tokyo,Monitor,8,951,David,Tokyo,Monitor,8,951
Charlie,Paris,Monitor,1,253,Charlie,Paris,Monitor,1,253
